MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
363,16/07/2020,Barcelona,1,Local,Osasuna,Derrota,Derrota,0,3,10,7,4,0,19-20
363,16/07/2020,Osasuna,2,Visitante,Barcelona,Victoria,Victoria,1,5,2,14,1,1,19-20
364,16/07/2020,Betis,1,Local,Alaves,Derrota,Empate,0,7,6,14,6,1,19-20
364,16/07/2020,Alaves,2,Visitante,Betis,Victoria,Empate,0,5,5,18,4,1,19-20
365,16/07/2020,Celta,2,Local,Levante,Derrota,Empate,2,6,8,11,3,1,19-20
365,16/07/2020,Levante,3,Visitante,Celta,Victoria,Empate,2,4,4,15,0,1,19-20
366,16/07/2020,Getafe,0,Local,Ath Madrid,Derrota,Empate,0,6,4,14,1,1,19-20
366,16/07/2020,Ath Madrid,2,Visitante,Getafe,Victoria,Empate,0,3,3,11,2,0,19-20
367,16/07/2020,Mallorca,1,Local,Granada,Derrota,Empate,1,5,5,14,7,2,19-20
367,16/07/2020,Granada,2,Visitante,Mallorca,Victoria,Empate,1,6,6,18,5,0,19-20
368,16/07/2020,Real Madrid,2,Local,Villarreal,Victoria,Victoria,1,7,4,13,3,0,19-20
368,16/07/2020,Villarreal,1,Visitante,Real Madrid,Derrota,Derrota,0,4,2,13,2,0,19-20
369,16/07/2020,Sociedad,0,Local,Sevilla,Empate,Empate,0,4,3,16,1,0,19-20
369,16/07/2020,Sevilla,0,Visitante,Sociedad,Empate,Empate,0,3,2,13,2,0,19-20
370,16/07/2020,Valencia,1,Local,Espanol,Victoria,Victoria,1,3,4,9,2,1,19-20
370,16/07/2020,Espanol,0,Visitante,Valencia,Derrota,Derrota,0,6,4,18,4,0,19-20
371,19/07/2020,Alaves,0,Local,Barcelona,Derrota,Derrota,0,0,2,17,0,0,19-20
371,19/07/2020,Barcelona,5,Visitante,Alaves,Victoria,Victoria,3,8,1,15,0,0,19-20
372,19/07/2020,Valladolid,2,Local,Betis,Victoria,Victoria,1,4,3,17,2,0,19-20
372,19/07/2020,Betis,0,Visitante,Valladolid,Derrota,Derrota,0,3,5,10,2,0,19-20
373,19/07/2020,Villarreal,4,Local,Eibar,Victoria,Empate,0,5,4,4,0,0,19-20
373,19/07/2020,Eibar,0,Visitante,Villarreal,Derrota,Empate,0,3,4,9,0,0,19-20
374,19/07/2020,Ath Madrid,1,Local,Sociedad,Empate,Victoria,1,3,2,16,1,0,19-20
374,19/07/2020,Sociedad,1,Visitante,Ath Madrid,Empate,Derrota,0,4,3,9,2,0,19-20
375,19/07/2020,Espanol,0,Local,Celta,Empate,Empate,0,1,1,10,2,0,19-20
375,19/07/2020,Celta,0,Visitante,Espanol,Empate,Empate,0,3,4,11,3,0,19-20
376,19/07/2020,Granada,4,Local,Ath Bilbao,Victoria,Victoria,1,6,2,10,1,0,19-20
376,19/07/2020,Ath Bilbao,0,Visitante,Granada,Derrota,Derrota,0,3,3,11,2,0,19-20
377,19/07/2020,Leganes,2,Local,Real Madrid,Empate,Empate,1,7,5,9,4,0,19-20
377,19/07/2020,Real Madrid,2,Visitante,Leganes,Empate,Empate,1,4,2,11,1,0,19-20
378,19/07/2020,Levante,1,Local,Getafe,Victoria,Empate,0,4,6,10,2,0,19-20
378,19/07/2020,Getafe,0,Visitante,Levante,Derrota,Empate,0,4,8,12,4,0,19-20
379,19/07/2020,Osasuna,2,Local,Mallorca,Empate,Empate,1,5,3,17,2,0,19-20
379,19/07/2020,Mallorca,2,Visitante,Osasuna,Empate,Empate,1,4,5,10,0,0,19-20
380,19/07/2020,Sevilla,1,Local,Valencia,Victoria,Empate,0,4,4,11,0,0,19-20
380,19/07/2020,Valencia,0,Visitante,Sevilla,Derrota,Empate,0,2,7,6,1,0,19-20
1,12/09/2020,Eibar,0,Local,Celta,Empate,Empate,0,1,3,17,4,1,20-21
1,12/09/2020,Celta,0,Visitante,Eibar,Empate,Empate,0,3,3,13,4,0,20-21
2,12/09/2020,Granada,2,Local,Ath Bilbao,Victoria,Empate,0,2,1,8,3,0,20-21
2,12/09/2020,Ath Bilbao,0,Visitante,Granada,Derrota,Empate,0,2,2,10,4,0,20-21
3,12/09/2020,Cadiz,0,Local,Osasuna,Derrota,Derrota,0,3,6,14,2,0,20-21
3,12/09/2020,Osasuna,2,Visitante,Cadiz,Victoria,Victoria,1,4,2,21,2,0,20-21
4,13/09/2020,Alaves,0,Local,Betis,Derrota,Empate,0,2,6,19,3,0,20-21
4,13/09/2020,Betis,1,Visitante,Alaves,Victoria,Empate,0,4,4,17,3,0,20-21
5,13/09/2020,Valladolid,1,Local,Sociedad,Empate,Victoria,1,3,5,15,4,0,20-21
5,13/09/2020,Sociedad,1,Visitante,Valladolid,Empate,Derrota,0,2,3,17,1,0,20-21
6,13/09/2020,Villarreal,1,Local,Huesca,Empate,Derrota,0,4,6,10,1,0,20-21
6,13/09/2020,Huesca,1,Visitante,Villarreal,Empate,Victoria,1,3,6,22,1,0,20-21
7,13/09/2020,Valencia,4,Local,Levante,Victoria,Empate,2,8,3,9,1,0,20-21
7,13/09/2020,Levante,2,Visitante,Valencia,Derrota,Empate,2,8,4,14,3,0,20-21
8,19/09/2020,Villarreal,2,Local,Eibar,Victoria,Empate,0,8,4,5,1,0,20-21
8,19/09/2020,Eibar,1,Visitante,Villarreal,Derrota,Empate,0,4,3,12,1,0,20-21
9,19/09/2020,Getafe,1,Local,Osasuna,Victoria,Empate,0,1,4,19,4,0,20-21
9,19/09/2020,Osasuna,0,Visitante,Getafe,Derrota,Empate,0,3,1,13,2,0,20-21
10,19/09/2020,Celta,2,Local,Valencia,Victoria,Victoria,1,6,6,12,3,0,20-21
10,19/09/2020,Valencia,1,Visitante,Celta,Derrota,Derrota,0,3,6,13,1,0,20-21
11,20/09/2020,Huesca,0,Local,Cadiz,Derrota,Derrota,0,0,2,18,3,0,20-21
11,20/09/2020,Cadiz,2,Visitante,Huesca,Victoria,Victoria,1,4,1,23,3,0,20-21
12,20/09/2020,Betis,2,Local,Valladolid,Victoria,Victoria,2,6,5,18,3,0,20-21
12,20/09/2020,Valladolid,0,Visitante,Betis,Derrota,Derrota,0,2,3,10,0,0,20-21
13,20/09/2020,Granada,2,Local,Alaves,Victoria,Empate,1,3,4,9,0,0,20-21
13,20/09/2020,Alaves,1,Visitante,Granada,Derrota,Empate,1,3,4,12,3,0,20-21
14,20/09/2020,Sociedad,0,Local,Real Madrid,Empate,Empate,0,1,1,17,2,0,20-21
14,20/09/2020,Real Madrid,0,Visitante,Sociedad,Empate,Empate,0,4,11,12,2,0,20-21
15,26/09/2020,Alaves,0,Local,Getafe,Empate,Empate,0,0,1,13,2,0,20-21
15,26/09/2020,Getafe,0,Visitante,Alaves,Empate,Empate,0,4,5,13,2,0,20-21
16,26/09/2020,Valencia,1,Local,Huesca,Empate,Victoria,1,2,4,14,0,0,20-21
16,26/09/2020,Huesca,1,Visitante,Valencia,Empate,Derrota,0,4,4,20,1,0,20-21
17,26/09/2020,Elche,0,Local,Sociedad,Derrota,Empate,0,2,2,11,3,0,20-21
17,26/09/2020,Sociedad,3,Visitante,Elche,Victoria,Empate,0,7,11,12,1,0,20-21
18,26/09/2020,Betis,2,Local,Real Madrid,Derrota,Victoria,2,5,8,9,5,1,20-21
18,26/09/2020,Real Madrid,3,Visitante,Betis,Victoria,Derrota,1,4,3,10,2,0,20-21
19,27/09/2020,Osasuna,1,Local,Levante,Derrota,Empate,1,4,3,15,2,0,20-21
19,27/09/2020,Levante,3,Visitante,Osasuna,Victoria,Empate,1,5,7,16,0,0,20-21
20,27/09/2020,Eibar,1,Local,Ath Bilbao,Derrota,Derrota,0,1,5,15,1,0,20-21
20,27/09/2020,Ath Bilbao,2,Visitante,Eibar,Victoria,Victoria,1,5,4,12,0,0,20-21
21,27/09/2020,Ath Madrid,6,Local,Granada,Victoria,Victoria,1,10,1,16,3,0,20-21
21,27/09/2020,Granada,1,Visitante,Ath Madrid,Derrota,Derrota,0,6,1,14,1,0,20-21
22,27/09/2020,Cadiz,1,Local,Sevilla,Derrota,Empate,0,5,6,9,4,0,20-21
22,27/09/2020,Sevilla,3,Visitante,Cadiz,Victoria,Empate,0,5,5,14,2,0,20-21
23,27/09/2020,Valladolid,1,Local,Celta,Empate,Derrota,0,4,4,26,3,0,20-21
23,27/09/2020,Celta,1,Visitante,Valladolid,Empate,Victoria,1,1,1,18,4,0,20-21
24,27/09/2020,Barcelona,4,Local,Villarreal,Victoria,Victoria,4,9,8,9,0,0,20-21
24,27/09/2020,Villarreal,0,Visitante,Barcelona,Derrota,Derrota,0,1,4,10,1,0,20-21
25,29/09/2020,Sociedad,0,Local,Valencia,Derrota,Empate,0,3,9,16,1,0,20-21
25,29/09/2020,Valencia,1,Visitante,Sociedad,Victoria,Empate,0,5,3,15,5,0,20-21
26,29/09/2020,Getafe,3,Local,Betis,Victoria,Victoria,3,4,1,15,4,0,20-21
26,29/09/2020,Betis,0,Visitante,Getafe,Derrota,Derrota,0,2,4,17,4,1,20-21
27,30/09/2020,Huesca,0,Local,Ath Madrid,Empate,Empate,0,3,5,13,1,0,20-21
27,30/09/2020,Ath Madrid,0,Visitante,Huesca,Empate,Empate,0,2,7,10,0,0,20-21
28,30/09/2020,Villarreal,3,Local,Alaves,Victoria,Victoria,2,6,2,11,0,0,20-21
28,30/09/2020,Alaves,1,Visitante,Villarreal,Derrota,Derrota,1,3,0,13,2,0,20-21
29,30/09/2020,Eibar,0,Local,Elche,Derrota,Derrota,0,4,3,9,2,0,20-21
29,30/09/2020,Elche,1,Visitante,Eibar,Victoria,Victoria,1,2,2,14,2,0,20-21
30,30/09/2020,Real Madrid,1,Local,Valladolid,Victoria,Empate,0,5,4,11,2,0,20-21
30,30/09/2020,Valladolid,0,Visitante,Real Madrid,Derrota,Empate,0,5,7,7,1,0,20-21
31,01/10/2020,Ath Bilbao,0,Local,Cadiz,Derrota,Empate,0,4,5,15,3,0,20-21
31,01/10/2020,Cadiz,1,Visitante,Ath Bilbao,Victoria,Empate,0,1,2,16,5,2,20-21
32,01/10/2020,Sevilla,1,Local,Levante,Victoria,Empate,0,2,2,14,5,0,20-21
32,01/10/2020,Levante,0,Visitante,Sevilla,Derrota,Empate,0,1,4,17,2,0,20-21
33,01/10/2020,Celta,0,Local,Barcelona,Derrota,Derrota,0,3,3,22,5,0,20-21
33,01/10/2020,Barcelona,3,Visitante,Celta,Victoria,Victoria,1,3,7,10,5,1,20-21
34,03/10/2020,Valladolid,1,Local,Eibar,Derrota,Empate,1,3,3,11,2,0,20-21
34,03/10/2020,Eibar,2,Visitante,Valladolid,Victoria,Empate,1,5,4,21,3,1,20-21
35,03/10/2020,Ath Madrid,0,Local,Villarreal,Empate,Empate,0,1,9,11,1,0,20-21
35,03/10/2020,Villarreal,0,Visitante,Ath Madrid,Empate,Empate,0,2,1,7,2,0,20-21
36,03/10/2020,Elche,0,Local,Huesca,Empate,Empate,0,0,0,8,0,0,20-21
36,03/10/2020,Huesca,0,Visitante,Elche,Empate,Empate,0,4,5,26,2,0,20-21
37,03/10/2020,Sociedad,3,Local,Getafe,Victoria,Victoria,1,6,5,21,3,0,20-21
37,03/10/2020,Getafe,0,Visitante,Sociedad,Derrota,Derrota,0,1,4,13,3,0,20-21
38,03/10/2020,Valencia,0,Local,Betis,Derrota,Derrota,0,2,4,11,2,0,20-21
38,03/10/2020,Betis,2,Visitante,Valencia,Victoria,Victoria,1,8,7,14,2,0,20-21
39,04/10/2020,Osasuna,2,Local,Celta,Victoria,Victoria,1,5,6,19,3,0,20-21
39,04/10/2020,Celta,0,Visitante,Osasuna,Derrota,Derrota,0,3,5,10,3,0,20-21
40,04/10/2020,Alaves,1,Local,Ath Bilbao,Victoria,Empate,0,3,0,20,2,1,20-21
40,04/10/2020,Ath Bilbao,0,Visitante,Alaves,Derrota,Empate,0,0,6,17,3,0,20-21
41,04/10/2020,Levante,0,Local,Real Madrid,Derrota,Derrota,0,4,4,14,2,0,20-21
41,04/10/2020,Real Madrid,2,Visitante,Levante,Victoria,Victoria,1,3,6,8,1,0,20-21
42,04/10/2020,Cadiz,1,Local,Granada,Empate,Derrota,0,4,2,16,2,0,20-21
42,04/10/2020,Granada,1,Visitante,Cadiz,Empate,Victoria,1,5,5,16,2,0,20-21
43,04/10/2020,Barcelona,1,Local,Sevilla,Empate,Empate,1,5,6,11,1,0,20-21
43,04/10/2020,Sevilla,1,Visitante,Barcelona,Empate,Empate,1,1,5,18,1,0,20-21
44,17/10/2020,Granada,1,Local,Sevilla,Victoria,Empate,0,3,5,16,4,0,20-21
44,17/10/2020,Sevilla,0,Visitante,Granada,Derrota,Empate,0,3,1,11,4,1,20-21
45,17/10/2020,Celta,0,Local,Ath Madrid,Derrota,Derrota,0,5,8,16,3,0,20-21
45,17/10/2020,Ath Madrid,2,Visitante,Celta,Victoria,Victoria,1,4,4,18,4,0,20-21
46,17/10/2020,Real Madrid,0,Local,Cadiz,Derrota,Derrota,0,2,4,7,2,0,20-21
46,17/10/2020,Cadiz,1,Visitante,Real Madrid,Victoria,Victoria,1,5,11,5,0,0,20-21
47,17/10/2020,Getafe,1,Local,Barcelona,Victoria,Empate,0,4,7,20,4,0,20-21
47,17/10/2020,Barcelona,0,Visitante,Getafe,Derrota,Empate,0,1,2,10,3,0,20-21
48,18/10/2020,Eibar,0,Local,Osasuna,Empate,Empate,0,6,6,14,2,0,20-21
48,18/10/2020,Osasuna,0,Visitante,Eibar,Empate,Empate,0,2,7,14,3,1,20-21
49,18/10/2020,Ath Bilbao,2,Local,Levante,Victoria,Empate,0,5,9,11,3,0,20-21
49,18/10/2020,Levante,0,Visitante,Ath Bilbao,Derrota,Empate,0,1,3,10,1,0,20-21
50,18/10/2020,Villarreal,2,Local,Valencia,Victoria,Empate,1,6,3,13,4,1,20-21
50,18/10/2020,Valencia,1,Visitante,Villarreal,Derrota,Empate,1,3,7,8,1,0,20-21
51,18/10/2020,Alaves,0,Local,Elche,Derrota,Derrota,0,2,2,11,2,0,20-21
51,18/10/2020,Elche,2,Visitante,Alaves,Victoria,Victoria,1,3,6,11,5,0,20-21
52,18/10/2020,Huesca,2,Local,Valladolid,Empate,Derrota,0,7,3,14,1,0,20-21
52,18/10/2020,Valladolid,2,Visitante,Huesca,Empate,Victoria,1,3,1,24,2,0,20-21
53,18/10/2020,Betis,0,Local,Sociedad,Derrota,Derrota,0,1,6,11,2,0,20-21
53,18/10/2020,Sociedad,3,Visitante,Betis,Victoria,Victoria,1,5,2,18,1,0,20-21
54,23/10/2020,Elche,2,Local,Valencia,Victoria,Victoria,2,2,0,15,3,0,20-21
54,23/10/2020,Valencia,1,Visitante,Elche,Derrota,Derrota,0,4,7,8,2,0,20-21
55,24/10/2020,Barcelona,1,Local,Real Madrid,Derrota,Empate,1,4,7,11,3,0,20-21
55,24/10/2020,Real Madrid,3,Visitante,Barcelona,Victoria,Empate,1,9,7,13,2,0,20-21
56,24/10/2020,Osasuna,1,Local,Ath Bilbao,Victoria,Empate,0,2,2,18,3,0,20-21
56,24/10/2020,Ath Bilbao,0,Visitante,Osasuna,Derrota,Empate,0,5,5,10,2,0,20-21
57,24/10/2020,Sevilla,0,Local,Eibar,Derrota,Derrota,0,3,13,11,0,0,20-21
57,24/10/2020,Eibar,1,Visitante,Sevilla,Victoria,Victoria,1,1,3,12,3,0,20-21
58,24/10/2020,Ath Madrid,2,Local,Betis,Victoria,Empate,0,6,8,19,2,0,20-21
58,24/10/2020,Betis,0,Visitante,Ath Madrid,Derrota,Empate,0,3,5,12,0,1,20-21
59,25/10/2020,Valladolid,0,Local,Alaves,Derrota,Empate,0,1,2,9,1,1,20-21
59,25/10/2020,Alaves,2,Visitante,Valladolid,Victoria,Empate,0,4,4,7,0,0,20-21
60,25/10/2020,Cadiz,0,Local,Villarreal,Empate,Empate,0,0,0,15,2,0,20-21
60,25/10/2020,Villarreal,0,Visitante,Cadiz,Empate,Empate,0,2,5,7,2,0,20-21
61,25/10/2020,Getafe,0,Local,Granada,Derrota,Derrota,0,1,6,19,4,0,20-21
61,25/10/2020,Granada,1,Visitante,Getafe,Victoria,Victoria,1,2,1,23,2,0,20-21
62,25/10/2020,Sociedad,4,Local,Huesca,Victoria,Victoria,1,6,4,12,2,0,20-21
62,25/10/2020,Huesca,1,Visitante,Sociedad,Derrota,Derrota,0,4,5,11,1,0,20-21
63,26/10/2020,Levante,1,Local,Celta,Empate,Empate,0,3,3,11,2,0,20-21
63,26/10/2020,Celta,1,Visitante,Levante,Empate,Empate,0,3,2,19,2,0,20-21
64,30/10/2020,Eibar,0,Local,Cadiz,Derrota,Derrota,0,3,7,10,1,0,20-21
64,30/10/2020,Cadiz,2,Visitante,Eibar,Victoria,Victoria,2,4,2,10,1,0,20-21
65,31/10/2020,Real Madrid,4,Local,Huesca,Victoria,Victoria,2,6,6,16,0,0,20-21
65,31/10/2020,Huesca,1,Visitante,Real Madrid,Derrota,Derrota,0,2,3,9,2,0,20-21
66,31/10/2020,Ath Bilbao,2,Local,Sevilla,Victoria,Derrota,0,5,6,17,5,0,20-21
66,31/10/2020,Sevilla,1,Visitante,Ath Bilbao,Derrota,Victoria,1,3,1,19,5,0,20-21
67,31/10/2020,Osasuna,1,Local,Ath Madrid,Derrota,Derrota,0,3,3,12,1,0,20-21
67,31/10/2020,Ath Madrid,3,Visitante,Osasuna,Victoria,Victoria,1,6,2,10,2,0,20-21
68,31/10/2020,Alaves,1,Local,Barcelona,Empate,Victoria,1,3,2,16,4,1,20-21
68,31/10/2020,Barcelona,1,Visitante,Alaves,Empate,Derrota,0,9,14,4,3,0,20-21
69,01/11/2020,Betis,3,Local,Elche,Victoria,Victoria,2,10,1,13,2,0,20-21
69,01/11/2020,Elche,1,Visitante,Betis,Derrota,Derrota,0,2,1,12,1,0,20-21
70,01/11/2020,Celta,1,Local,Sociedad,Derrota,Derrota,0,2,2,19,2,1,20-21
70,01/11/2020,Sociedad,4,Visitante,Celta,Victoria,Victoria,2,7,3,16,5,0,20-21
71,01/11/2020,Granada,1,Local,Levante,Empate,Empate,1,2,2,7,2,1,20-21
71,01/11/2020,Levante,1,Visitante,Granada,Empate,Empate,1,4,8,14,3,0,20-21
72,01/11/2020,Valencia,2,Local,Getafe,Empate,Victoria,1,5,0,18,8,1,20-21
72,01/11/2020,Getafe,2,Visitante,Valencia,Empate,Derrota,0,5,3,25,5,1,20-21
73,02/11/2020,Villarreal,2,Local,Valladolid,Victoria,Victoria,2,5,6,13,1,0,20-21
73,02/11/2020,Valladolid,0,Visitante,Villarreal,Derrota,Derrota,0,1,4,13,3,0,20-21
74,06/11/2020,Elche,1,Local,Celta,Empate,Empate,1,1,3,18,3,0,20-21
74,06/11/2020,Celta,1,Visitante,Elche,Empate,Empate,1,6,3,12,4,0,20-21
75,07/11/2020,Huesca,1,Local,Eibar,Empate,Derrota,0,6,4,16,2,0,20-21
75,07/11/2020,Eibar,1,Visitante,Huesca,Empate,Victoria,1,3,3,30,0,0,20-21
76,07/11/2020,Barcelona,5,Local,Betis,Victoria,Empate,1,9,9,8,2,0,20-21
76,07/11/2020,Betis,2,Visitante,Barcelona,Derrota,Empate,1,6,5,10,2,1,20-21
77,07/11/2020,Sevilla,1,Local,Osasuna,Victoria,Empate,0,1,3,11,2,0,20-21
77,07/11/2020,Osasuna,0,Visitante,Sevilla,Derrota,Empate,0,2,0,19,3,0,20-21
78,07/11/2020,Ath Madrid,4,Local,Cadiz,Victoria,Victoria,2,7,2,10,1,0,20-21
78,07/11/2020,Cadiz,0,Visitante,Ath Madrid,Derrota,Derrota,0,3,7,9,1,0,20-21
79,08/11/2020,Getafe,1,Local,Villarreal,Derrota,Derrota,1,5,3,18,3,0,20-21
79,08/11/2020,Villarreal,3,Visitante,Getafe,Victoria,Victoria,2,5,3,11,4,0,20-21
80,08/11/2020,Sociedad,2,Local,Granada,Victoria,Victoria,2,9,15,8,2,1,20-21
80,08/11/2020,Granada,0,Visitante,Sociedad,Derrota,Derrota,0,1,0,11,1,0,20-21
81,08/11/2020,Levante,1,Local,Alaves,Empate,Derrota,0,5,12,12,1,0,20-21
81,08/11/2020,Alaves,1,Visitante,Levante,Empate,Victoria,1,2,1,16,6,1,20-21
82,08/11/2020,Valladolid,2,Local,Ath Bilbao,Victoria,Victoria,1,4,2,23,4,0,20-21
82,08/11/2020,Ath Bilbao,1,Visitante,Valladolid,Derrota,Derrota,0,2,11,11,2,0,20-21
83,08/11/2020,Valencia,4,Local,Real Madrid,Victoria,Victoria,2,4,1,13,3,0,20-21
83,08/11/2020,Real Madrid,1,Visitante,Valencia,Derrota,Derrota,1,6,8,14,2,0,20-21
84,20/11/2020,Osasuna,1,Local,Huesca,Empate,Derrota,0,7,4,14,2,0,20-21
84,20/11/2020,Huesca,1,Visitante,Osasuna,Empate,Victoria,1,5,3,15,3,0,20-21
85,21/11/2020,Levante,1,Local,Elche,Empate,Victoria,1,5,5,15,1,0,20-21
85,21/11/2020,Elche,1,Visitante,Levante,Empate,Derrota,0,5,4,11,4,0,20-21
86,21/11/2020,Villarreal,1,Local,Real Madrid,Empate,Derrota,0,1,4,16,1,0,20-21
86,21/11/2020,Real Madrid,1,Visitante,Villarreal,Empate,Victoria,1,1,2,14,2,0,20-21
87,21/11/2020,Sevilla,4,Local,Celta,Victoria,Empate,2,10,3,14,2,0,20-21
87,21/11/2020,Celta,2,Visitante,Sevilla,Derrota,Empate,2,7,2,20,2,0,20-21
88,21/11/2020,Ath Madrid,1,Local,Barcelona,Victoria,Victoria,1,2,8,12,4,0,20-21
88,21/11/2020,Barcelona,0,Visitante,Ath Madrid,Derrota,Derrota,0,4,8,6,0,0,20-21
89,22/11/2020,Eibar,0,Local,Getafe,Empate,Empate,0,5,3,16,3,1,20-21
89,22/11/2020,Getafe,0,Visitante,Eibar,Empate,Empate,0,3,4,22,4,0,20-21
90,22/11/2020,Cadiz,0,Local,Sociedad,Derrota,Empate,0,0,1,14,2,0,20-21
90,22/11/2020,Sociedad,1,Visitante,Cadiz,Victoria,Empate,0,4,6,14,1,0,20-21
91,22/11/2020,Granada,1,Local,Valladolid,Derrota,Derrota,0,6,5,16,4,0,20-21
91,22/11/2020,Valladolid,3,Visitante,Granada,Victoria,Victoria,1,3,3,14,3,0,20-21
92,22/11/2020,Alaves,2,Local,Valencia,Empate,Victoria,2,3,4,21,1,0,20-21
92,22/11/2020,Valencia,2,Visitante,Alaves,Empate,Derrota,0,5,5,16,1,0,20-21
93,23/11/2020,Ath Bilbao,4,Local,Betis,Victoria,Victoria,2,9,6,16,0,0,20-21
93,23/11/2020,Betis,0,Visitante,Ath Bilbao,Derrota,Derrota,0,1,3,8,0,0,20-21
94,27/11/2020,Valladolid,1,Local,Levante,Empate,Empate,0,4,3,18,0,0,20-21
94,27/11/2020,Levante,1,Visitante,Valladolid,Empate,Empate,0,3,11,11,3,0,20-21
95,28/11/2020,Elche,1,Local,Cadiz,Empate,Victoria,1,3,1,16,6,1,20-21
95,28/11/2020,Cadiz,1,Visitante,Elche,Empate,Derrota,0,2,9,15,2,0,20-21
96,28/11/2020,Valencia,0,Local,Ath Madrid,Derrota,Empate,0,2,2,12,2,0,20-21
96,28/11/2020,Ath Madrid,1,Visitante,Valencia,Victoria,Empate,0,6,7,15,5,0,20-21
97,28/11/2020,Huesca,0,Local,Sevilla,Derrota,Empate,0,1,1,14,4,0,20-21
97,28/11/2020,Sevilla,1,Visitante,Huesca,Victoria,Empate,0,4,10,9,3,0,20-21
98,28/11/2020,Real Madrid,1,Local,Alaves,Derrota,Derrota,0,9,12,8,2,0,20-21
98,28/11/2020,Alaves,2,Visitante,Real Madrid,Victoria,Victoria,1,6,9,17,3,0,20-21
99,29/11/2020,Barcelona,4,Local,Osasuna,Victoria,Victoria,2,11,5,8,1,0,20-21
99,29/11/2020,Osasuna,0,Visitante,Barcelona,Derrota,Derrota,0,5,3,12,0,0,20-21
100,29/11/2020,Getafe,1,Local,Ath Bilbao,Empate,Derrota,0,3,3,16,2,0,20-21
100,29/11/2020,Ath Bilbao,1,Visitante,Getafe,Empate,Victoria,1,2,2,23,4,0,20-21
101,29/11/2020,Celta,3,Local,Granada,Victoria,Empate,1,8,8,14,4,1,20-21
101,29/11/2020,Granada,1,Visitante,Celta,Derrota,Empate,1,2,0,13,3,0,20-21
102,29/11/2020,Sociedad,1,Local,Villarreal,Empate,Empate,1,4,4,18,5,0,20-21
102,29/11/2020,Villarreal,1,Visitante,Sociedad,Empate,Empate,1,2,4,12,3,0,20-21
103,30/11/2020,Betis,0,Local,Eibar,Derrota,Empate,0,3,6,13,2,0,20-21
103,30/11/2020,Eibar,2,Visitante,Betis,Victoria,Empate,0,6,2,14,1,0,20-21
104,04/12/2020,Ath Bilbao,0,Local,Celta,Derrota,Empate,0,0,4,7,2,0,20-21
104,04/12/2020,Celta,2,Visitante,Ath Bilbao,Victoria,Empate,0,4,5,15,1,0,20-21
105,05/12/2020,Levante,3,Local,Getafe,Victoria,Victoria,2,8,5,12,2,0,20-21
105,05/12/2020,Getafe,0,Visitante,Levante,Derrota,Derrota,0,0,5,13,7,2,20-21
106,05/12/2020,Sevilla,0,Local,Real Madrid,Derrota,Empate,0,2,4,15,1,0,20-21
106,05/12/2020,Real Madrid,1,Visitante,Sevilla,Victoria,Empate,0,3,3,20,3,0,20-21
107,05/12/2020,Ath Madrid,2,Local,Valladolid,Victoria,Empate,0,4,4,10,4,0,20-21
107,05/12/2020,Valladolid,0,Visitante,Ath Madrid,Derrota,Empate,0,3,4,10,2,0,20-21
108,05/12/2020,Cadiz,2,Local,Barcelona,Victoria,Victoria,1,3,5,10,0,0,20-21
108,05/12/2020,Barcelona,1,Visitante,Cadiz,Derrota,Derrota,0,8,13,7,2,0,20-21
109,06/12/2020,Granada,3,Local,Huesca,Empate,Empate,1,6,4,12,2,0,20-21
109,06/12/2020,Huesca,3,Visitante,Granada,Empate,Empate,1,7,2,16,0,0,20-21
110,06/12/2020,Osasuna,0,Local,Betis,Derrota,Empate,0,0,2,16,3,0,20-21
110,06/12/2020,Betis,2,Visitante,Osasuna,Victoria,Empate,0,5,5,12,2,0,20-21
111,06/12/2020,Villarreal,0,Local,Elche,Empate,Empate,0,3,4,16,3,0,20-21
111,06/12/2020,Elche,0,Visitante,Villarreal,Empate,Empate,0,0,0,13,2,0,20-21
112,06/12/2020,Alaves,0,Local,Sociedad,Empate,Empate,0,1,2,3,1,1,20-21
112,06/12/2020,Sociedad,0,Visitante,Alaves,Empate,Empate,0,5,3,11,0,0,20-21
113,07/12/2020,Eibar,0,Local,Valencia,Empate,Empate,0,3,8,15,3,0,20-21
113,07/12/2020,Valencia,0,Visitante,Eibar,Empate,Empate,0,4,0,10,2,0,20-21
114,11/12/2020,Valladolid,3,Local,Osasuna,Victoria,Derrota,1,6,3,14,4,0,20-21
114,11/12/2020,Osasuna,2,Visitante,Valladolid,Derrota,Victoria,2,6,3,18,5,0,20-21
115,12/12/2020,Valencia,2,Local,Ath Bilbao,Empate,Victoria,1,2,0,19,2,0,20-21
115,12/12/2020,Ath Bilbao,2,Visitante,Valencia,Empate,Derrota,0,5,10,16,6,0,20-21
116,12/12/2020,Getafe,0,Local,Sevilla,Derrota,Empate,0,2,5,14,2,0,20-21
116,12/12/2020,Sevilla,1,Visitante,Getafe,Victoria,Empate,0,0,3,13,3,0,20-21
117,12/12/2020,Huesca,1,Local,Alaves,Victoria,Empate,0,3,5,14,1,0,20-21
117,12/12/2020,Alaves,0,Visitante,Huesca,Derrota,Empate,0,1,2,20,4,0,20-21
118,12/12/2020,Real Madrid,2,Local,Ath Madrid,Victoria,Victoria,1,3,3,7,1,0,20-21
